,vectorno,label,model,alpha,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,f1dev,aucdev,f1train,auctrain
36,3.0,toxic,multi,{'alpha': 0.01},tfidf,1.0,0.0,,,True,,0.942976616460015,0.7645445834980127,0.9742069720097217,0.8986065377251701
37,3.0,toxic,bern,{'alpha': 1.0},tfidf,1.0,0.0,,,True,,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
38,3.0,severe_toxic,multi,{'alpha': 10.0},tfidf,1.0,0.0,,,True,,0.99028459682117,0.5,0.989883680259724,0.5
39,3.0,severe_toxic,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,True,,0.99028459682117,0.5,0.989883680259724,0.5
40,3.0,obscene,multi,{'alpha': 0.1},tfidf,1.0,0.0,,,True,,0.9612007988682699,0.7077405993016516,0.9716599553375246,0.8098451423422444
41,3.0,obscene,bern,{'alpha': 0.5},tfidf,1.0,0.0,,,True,,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
42,3.0,threat,multi,{'alpha': 2.0},tfidf,1.0,0.0,,,True,,0.9967545976533244,0.5,0.997112185322368,0.5
43,3.0,threat,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,True,,0.9967545976533244,0.5,0.997112185322368,0.5
44,3.0,insult,multi,{'alpha': 0.1},tfidf,1.0,0.0,,,True,,0.9587875509694599,0.6704342491477319,0.9695882621992233,0.781711040557509
45,3.0,insult,bern,{'alpha': 0.5},tfidf,1.0,0.0,,,True,,0.9258758425563784,0.8133514457379664,0.9226836946091138,0.8620048757724138
46,3.0,identity_hate,multi,{'alpha': 2.0},tfidf,1.0,0.0,,,True,,0.9908879087958725,0.5,0.9913186192299759,0.49999547658681337
47,3.0,identity_hate,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,True,,0.9908879087958725,0.5,0.9913275875985399,0.5
48,4.0,toxic,multi,{'alpha': 0.5},count,0.0,0.0,,,False,,0.9439960056586503,0.8069119504130638,0.9524048680304565,0.8602295399101352
49,4.0,toxic,bern,{'alpha': 1.0},count,0.0,0.0,,,False,,0.9328867437796455,0.7890515799570067,0.9346744033792813,0.8299437593260001
50,4.0,severe_toxic,multi,{'alpha': 10.0},count,0.0,0.0,,,False,,0.9858325705250894,0.6101290901028791,0.9846192479126122,0.6293993357589777
51,4.0,severe_toxic,bern,{'alpha': 10.0},count,0.0,0.0,,,False,,0.99028459682117,0.5,0.989883680259724,0.5
52,4.0,obscene,multi,{'alpha': 1.0},count,0.0,0.0,,,False,,0.9598069401680952,0.7621999314781145,0.9595885312502802,0.8070326674411521
53,4.0,obscene,bern,{'alpha': 0.5},count,0.0,0.0,,,False,,0.9226096363485062,0.8288848168800509,0.9189618216550228,0.872294197196012
54,4.0,threat,multi,{'alpha': 10.0},count,0.0,0.0,,,False,,0.9965049513189648,0.509458847630913,0.9967265454741128,0.5214827916718644
55,4.0,threat,bern,{'alpha': 10.0},count,0.0,0.0,,,False,,0.9967545976533244,0.5,0.997112185322368,0.5
56,4.0,insult,multi,{'alpha': 2.0},count,0.0,0.0,,,False,,0.9555421486227844,0.6775386736937774,0.9555527653964467,0.7147642248848759
57,4.0,insult,bern,{'alpha': 0.5},count,0.0,0.0,,,False,,0.928143463426812,0.8098307225257448,0.9255894460238738,0.8643860853097534
58,4.0,identity_hate,multi,{'alpha': 10.0},count,0.0,0.0,,,False,,0.990513439294333,0.5167768673479072,0.9907356752733111,0.5263535174921651
59,4.0,identity_hate,bern,{'alpha': 10.0},count,0.0,0.0,,,False,,0.9908879087958725,0.5,0.9913275875985399,0.5
60,5.0,toxic,multi,{'alpha': 0.5},count,1.0,0.0,,,False,,0.94418324040942,0.8031085119902575,0.9531313058841466,0.8593801579052569
61,5.0,toxic,bern,{'alpha': 1.0},count,1.0,0.0,,,False,,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
62,5.0,severe_toxic,multi,{'alpha': 10.0},count,1.0,0.0,,,False,,0.9858117666638928,0.6079982664607616,0.9847268683353811,0.6281374986948105
63,5.0,severe_toxic,bern,{'alpha': 10.0},count,1.0,0.0,,,False,,0.99028459682117,0.5,0.989883680259724,0.5
64,5.0,obscene,multi,{'alpha': 1.0},count,1.0,0.0,,,False,,0.9597861363068986,0.760481918477552,0.959669246567357,0.8036698062693322
65,5.0,obscene,bern,{'alpha': 0.5},count,1.0,0.0,,,False,,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
66,5.0,threat,multi,{'alpha': 10.0},count,1.0,0.0,,,False,,0.9965881667637514,0.5095005908267721,0.9967175771055488,0.5214782945005851
67,5.0,threat,bern,{'alpha': 10.0},count,1.0,0.0,,,False,,0.9967545976533244,0.5,0.997112185322368,0.5
68,5.0,insult,multi,{'alpha': 2.0},count,1.0,0.0,,,False,,0.9554381293168012,0.6740012814670454,0.9556514174506515,0.7116634236667376
69,5.0,insult,bern,{'alpha': 0.5},count,1.0,0.0,,,False,,0.9258758425563784,0.8133514457379664,0.9226836946091138,0.8620048757724138
70,5.0,identity_hate,multi,{'alpha': 10.0},count,1.0,0.0,,,False,,0.9905966547391196,0.5156878027642684,0.9906818650619266,0.5263263770130452
71,5.0,identity_hate,bern,{'alpha': 10.0},count,1.0,0.0,,,False,,0.9908879087958725,0.5,0.9913275875985399,0.5
72,6.0,toxic,multi,{'alpha': 0.01},tfidf,0.0,0.0,,,False,,0.9431222434883915,0.7656994671621504,0.9744849914352081,0.9007622628600902
73,6.0,toxic,bern,{'alpha': 1.0},tfidf,0.0,0.0,,,False,,0.9328867437796455,0.7890515799570067,0.9346744033792813,0.8299437593260001
74,6.0,severe_toxic,multi,{'alpha': 10.0},tfidf,0.0,0.0,,,False,,0.99028459682117,0.5,0.989883680259724,0.5
75,6.0,severe_toxic,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,False,,0.99028459682117,0.5,0.989883680259724,0.5
76,6.0,obscene,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,False,,0.9610551718398935,0.7050084053418896,0.9716330502318323,0.8091181521690699
77,6.0,obscene,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,False,,0.9226096363485062,0.8288848168800509,0.9189618216550228,0.872294197196012
78,6.0,threat,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,False,,0.9967545976533244,0.5,0.997112185322368,0.5
79,6.0,threat,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,False,,0.9967545976533244,0.5,0.997112185322368,0.5
80,6.0,insult,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,False,,0.9588291586918533,0.6692269012008643,0.9694716734078905,0.7807123928864421
81,6.0,insult,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,False,,0.928143463426812,0.8098307225257448,0.9255894460238738,0.8643860853097534
82,6.0,identity_hate,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,False,,0.9908879087958725,0.5,0.9913186192299759,0.49999547658681337
83,6.0,identity_hate,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,False,,0.9908879087958725,0.5,0.9913275875985399,0.5
84,7.0,toxic,multi,{'alpha': 0.01},tfidf,1.0,0.0,,,False,,0.942976616460015,0.7645445834980127,0.9742069720097217,0.8986065377251701
85,7.0,toxic,bern,{'alpha': 1.0},tfidf,1.0,0.0,,,False,,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
86,7.0,severe_toxic,multi,{'alpha': 10.0},tfidf,1.0,0.0,,,False,,0.99028459682117,0.5,0.989883680259724,0.5
87,7.0,severe_toxic,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,False,,0.99028459682117,0.5,0.989883680259724,0.5
88,7.0,obscene,multi,{'alpha': 0.1},tfidf,1.0,0.0,,,False,,0.9612007988682699,0.7077405993016516,0.9716599553375246,0.8098451423422444
89,7.0,obscene,bern,{'alpha': 0.5},tfidf,1.0,0.0,,,False,,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
90,7.0,threat,multi,{'alpha': 2.0},tfidf,1.0,0.0,,,False,,0.9967545976533244,0.5,0.997112185322368,0.5
91,7.0,threat,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,False,,0.9967545976533244,0.5,0.997112185322368,0.5
92,7.0,insult,multi,{'alpha': 0.1},tfidf,1.0,0.0,,,False,,0.9587875509694599,0.6704342491477319,0.9695882621992233,0.781711040557509
93,7.0,insult,bern,{'alpha': 0.5},tfidf,1.0,0.0,,,False,,0.9258758425563784,0.8133514457379664,0.9226836946091138,0.8620048757724138
94,7.0,identity_hate,multi,{'alpha': 2.0},tfidf,1.0,0.0,,,False,,0.9908879087958725,0.5,0.9913186192299759,0.49999547658681337
95,7.0,identity_hate,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,False,,0.9908879087958725,0.5,0.9913275875985399,0.5
96,8.0,toxic,multi,{'alpha': 1.0},count,0.0,0.0,,,True,ascii,0.948780893733877,0.8077982462059502,0.9517950189680995,0.8448359556224406
97,8.0,toxic,bern,{'alpha': 1.0},count,0.0,0.0,,,True,ascii,0.8922151951402181,0.8047642114192622,0.8894558890792177,0.8338340963940487
98,8.0,severe_toxic,multi,{'alpha': 10.0},count,0.0,0.0,,,True,ascii,0.9901389697927936,0.5370320662023411,0.9902782884765432,0.5673253777017422
99,8.0,severe_toxic,bern,{'alpha': 10.0},count,0.0,0.0,,,True,ascii,0.99028459682117,0.5,0.989883680259724,0.5
100,8.0,obscene,multi,{'alpha': 1.0},count,0.0,0.0,,,True,ascii,0.9677748190064076,0.8009218933622523,0.9681802283346637,0.8396069218531546
101,8.0,obscene,bern,{'alpha': 0.5},count,0.0,0.0,,,True,ascii,0.8693725555463094,0.8271751507580093,0.8655372501188309,0.8590426196959182
102,8.0,threat,multi,{'alpha': 10.0},count,0.0,0.0,,,True,ascii,0.9965881667637514,0.4999165136082819,0.9968790077397021,0.5045279671260691
103,8.0,threat,bern,{'alpha': 2.0},count,0.0,0.0,,,True,ascii,0.9967545976533244,0.5,0.9970763118481117,0.49998201131488296
104,8.0,insult,multi,{'alpha': 1.0},count,0.0,0.0,,,True,ascii,0.9649662977448614,0.7666899545471727,0.9655255912396976,0.8146790163463088
105,8.0,insult,bern,{'alpha': 0.5},count,0.0,0.0,,,True,ascii,0.8791919780311226,0.8158699102562711,0.8765593750840784,0.8554557656462072
106,8.0,identity_hate,multi,{'alpha': 10.0},count,0.0,0.0,,,True,ascii,0.9907214779062994,0.5100955136482993,0.9910675049101818,0.511144693724792
107,8.0,identity_hate,bern,{'alpha': 10.0},count,0.0,0.0,,,True,ascii,0.9908879087958725,0.5,0.9913275875985399,0.5
108,9.0,toxic,multi,{'alpha': 0.5},count,1.0,0.0,,,True,ascii,0.94418324040942,0.8031085119902575,0.9531313058841466,0.8593801579052569
109,9.0,toxic,bern,{'alpha': 1.0},count,1.0,0.0,,,True,ascii,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
110,9.0,severe_toxic,multi,{'alpha': 10.0},count,1.0,0.0,,,True,ascii,0.9858117666638928,0.6079982664607616,0.9847268683353811,0.6281374986948105
111,9.0,severe_toxic,bern,{'alpha': 10.0},count,1.0,0.0,,,True,ascii,0.99028459682117,0.5,0.989883680259724,0.5
112,9.0,obscene,multi,{'alpha': 1.0},count,1.0,0.0,,,True,ascii,0.9597861363068986,0.760481918477552,0.959669246567357,0.8036698062693322
113,9.0,obscene,bern,{'alpha': 0.5},count,1.0,0.0,,,True,ascii,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
114,9.0,threat,multi,{'alpha': 10.0},count,1.0,0.0,,,True,ascii,0.9965881667637514,0.5095005908267721,0.9967175771055488,0.5214782945005851
115,9.0,threat,bern,{'alpha': 10.0},count,1.0,0.0,,,True,ascii,0.9967545976533244,0.5,0.997112185322368,0.5
116,9.0,insult,multi,{'alpha': 2.0},count,1.0,0.0,,,True,ascii,0.9554381293168012,0.6740012814670454,0.9556514174506515,0.7116634236667376
117,9.0,insult,bern,{'alpha': 0.5},count,1.0,0.0,,,True,ascii,0.9258758425563784,0.8133514457379664,0.9226836946091138,0.8620048757724138
118,9.0,identity_hate,multi,{'alpha': 10.0},count,1.0,0.0,,,True,ascii,0.9905966547391196,0.5156878027642684,0.9906818650619266,0.5263263770130452
119,9.0,identity_hate,bern,{'alpha': 10.0},count,1.0,0.0,,,True,ascii,0.9908879087958725,0.5,0.9913275875985399,0.5
120,10.0,toxic,multi,{'alpha': 0.01},tfidf,0.0,0.0,,,True,ascii,0.9470333693933594,0.7616099185922092,0.9750320619176166,0.8879271537674153
121,10.0,toxic,bern,{'alpha': 1.0},tfidf,0.0,0.0,,,True,ascii,0.8922151951402181,0.8047642114192622,0.8894558890792177,0.8338340963940487
122,10.0,severe_toxic,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,True,ascii,0.99028459682117,0.5,0.9898657435225958,0.49999093997734995
123,10.0,severe_toxic,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,True,ascii,0.99028459682117,0.5,0.989883680259724,0.5
124,10.0,obscene,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,True,ascii,0.966484979612216,0.7014229279525622,0.976637399890586,0.798614748492774
125,10.0,obscene,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,True,ascii,0.8693725555463094,0.8271751507580093,0.8655372501188309,0.8590426196959182
126,10.0,threat,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,True,ascii,0.9967545976533244,0.5,0.997112185322368,0.5
127,10.0,threat,bern,{'alpha': 2.0},tfidf,0.0,0.0,,,True,ascii,0.9967545976533244,0.5,0.9970763118481117,0.49998201131488296
128,10.0,insult,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,True,ascii,0.9639469085462262,0.6604427833624217,0.9740276046384402,0.7667498691267199
129,10.0,insult,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,True,ascii,0.8791919780311226,0.8158699102562711,0.8765593750840784,0.8554557656462072
130,10.0,identity_hate,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,True,ascii,0.9908879087958725,0.5,0.9913186192299759,0.49999547658681337
131,10.0,identity_hate,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,True,ascii,0.9908879087958725,0.5,0.9913275875985399,0.5
132,11.0,toxic,multi,{'alpha': 0.01},tfidf,1.0,0.0,,,True,ascii,0.942976616460015,0.7645445834980127,0.9742069720097217,0.8986065377251701
133,11.0,toxic,bern,{'alpha': 1.0},tfidf,1.0,0.0,,,True,ascii,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
134,11.0,severe_toxic,multi,{'alpha': 10.0},tfidf,1.0,0.0,,,True,ascii,0.99028459682117,0.5,0.989883680259724,0.5
135,11.0,severe_toxic,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,True,ascii,0.99028459682117,0.5,0.989883680259724,0.5
136,11.0,obscene,multi,{'alpha': 0.1},tfidf,1.0,0.0,,,True,ascii,0.9612007988682699,0.7077405993016516,0.9716599553375246,0.8098451423422444
137,11.0,obscene,bern,{'alpha': 0.5},tfidf,1.0,0.0,,,True,ascii,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
138,11.0,threat,multi,{'alpha': 2.0},tfidf,1.0,0.0,,,True,ascii,0.9967545976533244,0.5,0.997112185322368,0.5
139,11.0,threat,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,True,ascii,0.9967545976533244,0.5,0.997112185322368,0.5
140,11.0,insult,multi,{'alpha': 0.1},tfidf,1.0,0.0,,,True,ascii,0.9587875509694599,0.6704342491477319,0.9695882621992233,0.781711040557509
141,11.0,insult,bern,{'alpha': 0.5},tfidf,1.0,0.0,,,True,ascii,0.9258758425563784,0.8133514457379664,0.9226836946091138,0.8620048757724138
142,11.0,identity_hate,multi,{'alpha': 2.0},tfidf,1.0,0.0,,,True,ascii,0.9908879087958725,0.5,0.9913186192299759,0.49999547658681337
143,11.0,identity_hate,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,True,ascii,0.9908879087958725,0.5,0.9913275875985399,0.5
144,12.0,toxic,multi,{'alpha': 0.5},count,0.0,0.0,,,False,ascii,0.9441000249646334,0.8070671104170482,0.9526111405074303,0.8605104678723661
145,12.0,toxic,bern,{'alpha': 1.0},count,0.0,0.0,,,False,ascii,0.9317425314138305,0.7892006046540772,0.9338313767342583,0.8305618219568864
146,12.0,severe_toxic,multi,{'alpha': 10.0},count,0.0,0.0,,,False,ascii,0.9857909628026962,0.6101080821408615,0.98459234280692,0.6285082809249577
147,12.0,severe_toxic,bern,{'alpha': 10.0},count,0.0,0.0,,,False,ascii,0.99028459682117,0.5,0.989883680259724,0.5
148,12.0,obscene,multi,{'alpha': 1.0},count,0.0,0.0,,,False,ascii,0.9598485478904885,0.7631702296920093,0.9596244047245366,0.8074476045029169
149,12.0,obscene,bern,{'alpha': 0.5},count,0.0,0.0,,,False,ascii,0.9212157776483315,0.8298568232104362,0.9174551357362583,0.8723695092274134
150,12.0,threat,multi,{'alpha': 10.0},count,0.0,0.0,,,False,ascii,0.9965049513189648,0.509458847630913,0.9966996403684206,0.5183727044384734
151,12.0,threat,bern,{'alpha': 10.0},count,0.0,0.0,,,False,ascii,0.9967545976533244,0.5,0.997112185322368,0.5
152,12.0,insult,multi,{'alpha': 2.0},count,0.0,0.0,,,False,ascii,0.9555837563451777,0.6783800014012537,0.9556962592934719,0.7154361969586334
153,12.0,insult,bern,{'alpha': 0.5},count,0.0,0.0,,,False,ascii,0.9268328201714238,0.8111908886393138,0.9243338744249033,0.8641513953444627
154,12.0,identity_hate,multi,{'alpha': 10.0},count,0.0,0.0,,,False,ascii,0.990513439294333,0.5167768673479072,0.9906998017990547,0.5258228841709093
155,12.0,identity_hate,bern,{'alpha': 10.0},count,0.0,0.0,,,False,ascii,0.9908879087958725,0.5,0.9913275875985399,0.5
156,13.0,toxic,multi,{'alpha': 0.5},count,1.0,0.0,,,False,ascii,0.94418324040942,0.8031085119902575,0.9531313058841466,0.8593801579052569
157,13.0,toxic,bern,{'alpha': 1.0},count,1.0,0.0,,,False,ascii,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
158,13.0,severe_toxic,multi,{'alpha': 10.0},count,1.0,0.0,,,False,ascii,0.9858117666638928,0.6079982664607616,0.9847268683353811,0.6281374986948105
159,13.0,severe_toxic,bern,{'alpha': 10.0},count,1.0,0.0,,,False,ascii,0.99028459682117,0.5,0.989883680259724,0.5
160,13.0,obscene,multi,{'alpha': 1.0},count,1.0,0.0,,,False,ascii,0.9597861363068986,0.760481918477552,0.959669246567357,0.8036698062693322
161,13.0,obscene,bern,{'alpha': 0.5},count,1.0,0.0,,,False,ascii,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
162,13.0,threat,multi,{'alpha': 10.0},count,1.0,0.0,,,False,ascii,0.9965881667637514,0.5095005908267721,0.9967175771055488,0.5214782945005851
163,13.0,threat,bern,{'alpha': 10.0},count,1.0,0.0,,,False,ascii,0.9967545976533244,0.5,0.997112185322368,0.5
164,13.0,insult,multi,{'alpha': 2.0},count,1.0,0.0,,,False,ascii,0.9554381293168012,0.6740012814670454,0.9556514174506515,0.7116634236667376
165,13.0,insult,bern,{'alpha': 0.5},count,1.0,0.0,,,False,ascii,0.9258758425563784,0.8133514457379664,0.9226836946091138,0.8620048757724138
166,13.0,identity_hate,multi,{'alpha': 10.0},count,1.0,0.0,,,False,ascii,0.9905966547391196,0.5156878027642684,0.9906818650619266,0.5263263770130452
167,13.0,identity_hate,bern,{'alpha': 10.0},count,1.0,0.0,,,False,ascii,0.9908879087958725,0.5,0.9913275875985399,0.5
168,14.0,toxic,multi,{'alpha': 0.01},tfidf,0.0,0.0,,,False,ascii,0.9432262627943746,0.7660499729283349,0.9744760230666439,0.900715594948946
169,14.0,toxic,bern,{'alpha': 1.0},tfidf,0.0,0.0,,,False,ascii,0.9317425314138305,0.7892006046540772,0.9338313767342583,0.8305618219568864
170,14.0,severe_toxic,multi,{'alpha': 10.0},tfidf,0.0,0.0,,,False,ascii,0.99028459682117,0.5,0.989883680259724,0.5
171,14.0,severe_toxic,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,False,ascii,0.99028459682117,0.5,0.989883680259724,0.5
172,14.0,obscene,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,False,ascii,0.9611591911458767,0.7056322728782657,0.9716958288117808,0.8090721154701501
173,14.0,obscene,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,False,ascii,0.9212157776483315,0.8298568232104362,0.9174551357362583,0.8723695092274134
174,14.0,threat,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,False,ascii,0.9967545976533244,0.5,0.9971032169538039,0.49999550282872074
175,14.0,threat,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,False,ascii,0.9967545976533244,0.5,0.997112185322368,0.5
176,14.0,insult,multi,{'alpha': 0.1},tfidf,0.0,0.0,,,False,ascii,0.9588499625530499,0.6694426974891681,0.9696061989363515,0.7812092283640784
177,14.0,insult,bern,{'alpha': 0.5},tfidf,0.0,0.0,,,False,ascii,0.9268328201714238,0.8111908886393138,0.9243338744249033,0.8641513953444627
178,14.0,identity_hate,multi,{'alpha': 2.0},tfidf,0.0,0.0,,,False,ascii,0.9908879087958725,0.5,0.9913186192299759,0.49999547658681337
179,14.0,identity_hate,bern,{'alpha': 10.0},tfidf,0.0,0.0,,,False,ascii,0.9908879087958725,0.5,0.9913275875985399,0.5
180,15.0,toxic,multi,{'alpha': 0.01},tfidf,1.0,0.0,,,False,ascii,0.942976616460015,0.7645445834980127,0.9742069720097217,0.8986065377251701
181,15.0,toxic,bern,{'alpha': 1.0},tfidf,1.0,0.0,,,False,ascii,0.9319713738869935,0.7910851881842222,0.933194622566209,0.829917651614148
182,15.0,severe_toxic,multi,{'alpha': 10.0},tfidf,1.0,0.0,,,False,ascii,0.99028459682117,0.5,0.989883680259724,0.5
183,15.0,severe_toxic,bern,{'alpha': 10.0},tfidf,1.0,0.0,,,False,ascii,0.99028459682117,0.5,0.989883680259724,0.5
184,15.0,obscene,multi,{'alpha': 0.1},tfidf,1.0,0.0,,,False,ascii,0.9612007988682699,0.7077405993016516,0.9716599553375246,0.8098451423422444
185,15.0,obscene,bern,{'alpha': 0.5},tfidf,1.0,0.0,,,False,ascii,0.9191978031122576,0.8303100375827891,0.9153475691237007,0.8702266818107923
