,label,model,type,preprocessor,tokenizer,max_features,stop_words,lowercase,strip_accents,f1dev,aucdev,f1train,auctrain
35,identity_hate,bern,tfidf,0.0,0.0,,,True,,0.990946812523576,0.5010145565030772,0.98968288736109,0.4997608887919451
36,toxic,multi,tfidf,1.0,0.0,,,True,,0.9210779999161742,0.6015769358227774,0.9232742975154891,0.6140128944587737
37,toxic,bern,tfidf,1.0,0.0,,,True,,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
38,severe_toxic,multi,tfidf,1.0,0.0,,,True,,0.9899199463514816,0.5010289161166651,0.989986857750798,0.500861545099097
39,severe_toxic,bern,tfidf,1.0,0.0,,,True,,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
40,obscene,multi,tfidf,1.0,0.0,,,True,,0.9530365899660506,0.5630102588152658,0.9546190088777234,0.5823821576819782
41,obscene,bern,tfidf,1.0,0.0,,,True,,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
42,threat,multi,tfidf,1.0,0.0,,,True,,0.9968565321262417,0.5033112582781457,0.9970496991587172,0.5015111189497315
43,threat,bern,tfidf,1.0,0.0,,,True,,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
44,insult,multi,tfidf,1.0,0.0,,,True,,0.9535185883733601,0.5329816565337251,0.9549766211009092,0.5555605082420779
45,insult,bern,tfidf,1.0,0.0,,,True,,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
46,identity_hate,multi,tfidf,1.0,0.0,,,True,,0.9912821157634436,0.4999894298458872,0.9911043959482535,0.5004779900791194
47,identity_hate,bern,tfidf,1.0,0.0,,,True,,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
48,toxic,multi,count,0.0,0.0,,,False,,0.9457856574039146,0.7969585445460479,0.9521246636210026,0.8437784426064393
49,toxic,bern,count,0.0,0.0,,,False,,0.8854939435852299,0.7990163724489912,0.8859664023316317,0.8334322304556627
50,severe_toxic,multi,count,0.0,0.0,,,False,,0.9877195188398508,0.7026139742019244,0.9874299303550196,0.7537200666720458
51,severe_toxic,bern,count,0.0,0.0,,,False,,0.9897732511840396,0.5009548216568137,0.9891732899430502,0.5026722586401464
52,obscene,multi,count,0.0,0.0,,,False,,0.9679366276876651,0.7992507600519623,0.9680294672471905,0.8337963539307508
53,obscene,bern,count,0.0,0.0,,,False,,0.9624669935873256,0.6649542526518912,0.9665721974377084,0.7214521027045119
54,threat,multi,count,0.0,0.0,,,False,,0.9962068820989983,0.5161883892737146,0.9959321609612617,0.5253438111632449
55,threat,bern,count,0.0,0.0,,,False,,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
56,insult,multi,count,0.0,0.0,,,False,,0.9644578565740392,0.7686641616108995,0.9652669128230803,0.8066559071036585
57,insult,bern,count,0.0,0.0,,,False,,0.9610629112703801,0.6239598999671383,0.9633179262067177,0.6716766653925079
58,identity_hate,multi,count,0.0,0.0,,,False,,0.9889978624418458,0.5549669918283794,0.9882703190795061,0.6071650313331486
59,identity_hate,bern,count,0.0,0.0,,,False,,0.990946812523576,0.5010145565030772,0.98968288736109,0.4997608887919451
60,toxic,multi,count,1.0,0.0,,,False,,0.9408818475208517,0.7697756634605413,0.9478422572483528,0.8162852529604993
61,toxic,bern,count,1.0,0.0,,,False,,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
62,severe_toxic,multi,count,1.0,0.0,,,False,,0.9795674588205708,0.687178361935438,0.9795356405281933,0.7475116251399545
63,severe_toxic,bern,count,1.0,0.0,,,False,,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
64,obscene,multi,count,1.0,0.0,,,False,,0.9585690934238652,0.7617341498714314,0.9598222667250766,0.7993594343588996
65,obscene,bern,count,1.0,0.0,,,False,,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
66,threat,multi,count,1.0,0.0,,,False,,0.9933777610126158,0.5708820336654454,0.9912474408375278,0.5733053512130659
67,threat,bern,count,1.0,0.0,,,False,,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
68,insult,multi,count,1.0,0.0,,,False,,0.956473448174693,0.7364114119892763,0.958704728527621,0.785251999341352
69,insult,bern,count,1.0,0.0,,,False,,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
70,identity_hate,multi,count,1.0,0.0,,,False,,0.9825223186219036,0.5827512914053949,0.9804028501694187,0.6272221096982289
71,identity_hate,bern,count,1.0,0.0,,,False,,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
72,toxic,multi,tfidf,0.0,0.0,,,False,,0.9188147030470681,0.5747723894716262,0.9204223400355824,0.5866869699238021
73,toxic,bern,tfidf,0.0,0.0,,,False,,0.8854939435852299,0.7990163724489912,0.8859664023316317,0.8334322304556627
74,severe_toxic,multi,tfidf,0.0,0.0,,,False,,0.98989898989899,0.4999894150771641,0.9899779174452182,0.4999683941520151
75,severe_toxic,bern,tfidf,0.0,0.0,,,False,,0.9897732511840396,0.5009548216568137,0.9891732899430502,0.5026722586401464
76,obscene,multi,tfidf,0.0,0.0,,,False,,0.9513810302192045,0.5406091585656103,0.952643201344622,0.5543412086763851
77,obscene,bern,tfidf,0.0,0.0,,,False,,0.9624669935873256,0.6649542526518912,0.9665721974377084,0.7214521027045119
78,threat,multi,tfidf,0.0,0.0,,,False,,0.9968565321262417,0.5033112582781457,0.9970496991587172,0.5015111189497315
79,threat,bern,tfidf,0.0,0.0,,,False,,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
80,insult,multi,tfidf,0.0,0.0,,,False,,0.9523031141288403,0.513639127187357,0.9528756492896927,0.5263308985118756
81,insult,bern,tfidf,0.0,0.0,,,False,,0.9610629112703801,0.6239598999671383,0.9633179262067177,0.6716766653925079
82,identity_hate,multi,tfidf,0.0,0.0,,,False,,0.9912821157634436,0.4999894298458872,0.9910954556426739,0.5004734800081309
83,identity_hate,bern,tfidf,0.0,0.0,,,False,,0.990946812523576,0.5010145565030772,0.98968288736109,0.4997608887919451
84,toxic,multi,tfidf,1.0,0.0,,,False,,0.9210779999161742,0.6015769358227774,0.9232742975154891,0.6140128944587737
85,toxic,bern,tfidf,1.0,0.0,,,False,,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
86,severe_toxic,multi,tfidf,1.0,0.0,,,False,,0.9899199463514816,0.5010289161166651,0.989986857750798,0.500861545099097
87,severe_toxic,bern,tfidf,1.0,0.0,,,False,,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
88,obscene,multi,tfidf,1.0,0.0,,,False,,0.9530365899660506,0.5630102588152658,0.9546190088777234,0.5823821576819782
89,obscene,bern,tfidf,1.0,0.0,,,False,,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
90,threat,multi,tfidf,1.0,0.0,,,False,,0.9968565321262417,0.5033112582781457,0.9970496991587172,0.5015111189497315
91,threat,bern,tfidf,1.0,0.0,,,False,,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
92,insult,multi,tfidf,1.0,0.0,,,False,,0.9535185883733601,0.5329816565337251,0.9549766211009092,0.5555605082420779
93,insult,bern,tfidf,1.0,0.0,,,False,,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
94,identity_hate,multi,tfidf,1.0,0.0,,,False,,0.9912821157634436,0.4999894298458872,0.9911043959482535,0.5004779900791194
95,identity_hate,bern,tfidf,1.0,0.0,,,False,,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
96,toxic,multi,count,0.0,0.0,,,True,ascii,0.9458904396663733,0.7974095913222855,0.9523302906493344,0.8441417610700136
97,toxic,bern,count,0.0,0.0,,,True,ascii,0.883000125738715,0.798719118169613,0.8837045050199815,0.8331378447809782
98,severe_toxic,multi,count,0.0,0.0,,,True,ascii,0.9876776059348673,0.7025928043562525,0.9874835721884974,0.7541914753118608
99,severe_toxic,bern,count,0.0,0.0,,,True,ascii,0.9897942076365313,0.5009654065796496,0.9892179914709485,0.5026948342458498
100,obscene,multi,count,0.0,0.0,,,True,ascii,0.9679575841401568,0.8001977851127443,0.9680741687750888,0.8340588736129974
101,obscene,bern,count,0.0,0.0,,,True,ascii,0.9630118613521104,0.6702960842541209,0.9670281530222703,0.7265508422382765
102,threat,multi,count,0.0,0.0,,,True,ascii,0.9962068820989983,0.5128876424846264,0.9959321609612617,0.5238192424349863
103,threat,bern,count,0.0,0.0,,,True,ascii,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
104,insult,multi,count,0.0,0.0,,,True,ascii,0.9647093340039398,0.7706260591564073,0.9654099577123546,0.8070730967122618
105,insult,bern,count,0.0,0.0,,,True,ascii,0.9613353451527725,0.627355910694241,0.9639795088196115,0.6774957038710577
106,identity_hate,multi,count,0.0,0.0,,,True,ascii,0.9891026447043044,0.5550198425989435,0.988323960912984,0.606691551325018
107,identity_hate,bern,count,0.0,0.0,,,True,ascii,0.9909677689760678,0.5010251266571901,0.98968288736109,0.4997608887919451
108,toxic,multi,count,1.0,0.0,,,True,ascii,0.9408818475208517,0.7697756634605413,0.9478422572483528,0.8162852529604993
109,toxic,bern,count,1.0,0.0,,,True,ascii,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
110,severe_toxic,multi,count,1.0,0.0,,,True,ascii,0.9795674588205708,0.687178361935438,0.9795356405281933,0.7475116251399545
111,severe_toxic,bern,count,1.0,0.0,,,True,ascii,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
112,obscene,multi,count,1.0,0.0,,,True,ascii,0.9585690934238652,0.7617341498714314,0.9598222667250766,0.7993594343588996
113,obscene,bern,count,1.0,0.0,,,True,ascii,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
114,threat,multi,count,1.0,0.0,,,True,ascii,0.9933777610126158,0.5708820336654454,0.9912474408375278,0.5733053512130659
115,threat,bern,count,1.0,0.0,,,True,ascii,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
116,insult,multi,count,1.0,0.0,,,True,ascii,0.956473448174693,0.7364114119892763,0.958704728527621,0.785251999341352
117,insult,bern,count,1.0,0.0,,,True,ascii,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
118,identity_hate,multi,count,1.0,0.0,,,True,ascii,0.9825223186219036,0.5827512914053949,0.9804028501694187,0.6272221096982289
119,identity_hate,bern,count,1.0,0.0,,,True,ascii,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
120,toxic,multi,tfidf,0.0,0.0,,,True,ascii,0.9188356594995599,0.5748822554351507,0.9205475043136975,0.5872137665287734
121,toxic,bern,tfidf,0.0,0.0,,,True,ascii,0.883000125738715,0.798719118169613,0.8837045050199815,0.8331378447809782
122,severe_toxic,multi,tfidf,0.0,0.0,,,True,ascii,0.9899199463514816,0.5,0.9900047383619572,0.4999819395154372
123,severe_toxic,bern,tfidf,0.0,0.0,,,True,ascii,0.9897942076365313,0.5009654065796496,0.9892179914709485,0.5026948342458498
124,obscene,multi,tfidf,0.0,0.0,,,True,ascii,0.9514438995766796,0.5413911170512657,0.9527504850115777,0.5553535251940164
125,obscene,bern,tfidf,0.0,0.0,,,True,ascii,0.9630118613521104,0.6702960842541209,0.9670281530222703,0.7265508422382765
126,threat,multi,tfidf,0.0,0.0,,,True,ascii,0.9968355756737499,0.5,0.9970407588531376,0.499982066961964
127,threat,bern,tfidf,0.0,0.0,,,True,ascii,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
128,insult,multi,tfidf,0.0,0.0,,,True,ascii,0.9523450270338237,0.5138644603740509,0.9528756492896927,0.5264163828314088
129,insult,bern,tfidf,0.0,0.0,,,True,ascii,0.9613353451527725,0.627355910694241,0.9639795088196115,0.6774957038710577
130,identity_hate,multi,tfidf,0.0,0.0,,,True,ascii,0.9913030722159353,0.5,0.9911133362538331,0.5004825001501079
131,identity_hate,bern,tfidf,0.0,0.0,,,True,ascii,0.9909677689760678,0.5010251266571901,0.98968288736109,0.4997608887919451
132,toxic,multi,tfidf,1.0,0.0,,,True,ascii,0.9210779999161742,0.6015769358227774,0.9232742975154891,0.6140128944587737
133,toxic,bern,tfidf,1.0,0.0,,,True,ascii,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
134,severe_toxic,multi,tfidf,1.0,0.0,,,True,ascii,0.9899199463514816,0.5010289161166651,0.989986857750798,0.500861545099097
135,severe_toxic,bern,tfidf,1.0,0.0,,,True,ascii,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
136,obscene,multi,tfidf,1.0,0.0,,,True,ascii,0.9530365899660506,0.5630102588152658,0.9546190088777234,0.5823821576819782
137,obscene,bern,tfidf,1.0,0.0,,,True,ascii,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
138,threat,multi,tfidf,1.0,0.0,,,True,ascii,0.9968565321262417,0.5033112582781457,0.9970496991587172,0.5015111189497315
139,threat,bern,tfidf,1.0,0.0,,,True,ascii,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
140,insult,multi,tfidf,1.0,0.0,,,True,ascii,0.9535185883733601,0.5329816565337251,0.9549766211009092,0.5555605082420779
141,insult,bern,tfidf,1.0,0.0,,,True,ascii,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
142,identity_hate,multi,tfidf,1.0,0.0,,,True,ascii,0.9912821157634436,0.4999894298458872,0.9911043959482535,0.5004779900791194
143,identity_hate,bern,tfidf,1.0,0.0,,,True,ascii,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
144,toxic,multi,count,0.0,0.0,,,False,ascii,0.9458904396663733,0.7974095913222855,0.9523302906493344,0.8441417610700136
145,toxic,bern,count,0.0,0.0,,,False,ascii,0.883000125738715,0.798719118169613,0.8837045050199815,0.8331378447809782
146,severe_toxic,multi,count,0.0,0.0,,,False,ascii,0.9876776059348673,0.7025928043562525,0.9874835721884974,0.7541914753118608
147,severe_toxic,bern,count,0.0,0.0,,,False,ascii,0.9897942076365313,0.5009654065796496,0.9892179914709485,0.5026948342458498
148,obscene,multi,count,0.0,0.0,,,False,ascii,0.9679575841401568,0.8001977851127443,0.9680741687750888,0.8340588736129974
149,obscene,bern,count,0.0,0.0,,,False,ascii,0.9630118613521104,0.6702960842541209,0.9670281530222703,0.7265508422382765
150,threat,multi,count,0.0,0.0,,,False,ascii,0.9962068820989983,0.5128876424846264,0.9959321609612617,0.5238192424349863
151,threat,bern,count,0.0,0.0,,,False,ascii,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
152,insult,multi,count,0.0,0.0,,,False,ascii,0.9647093340039398,0.7706260591564073,0.9654099577123546,0.8070730967122618
153,insult,bern,count,0.0,0.0,,,False,ascii,0.9613353451527725,0.627355910694241,0.9639795088196115,0.6774957038710577
154,identity_hate,multi,count,0.0,0.0,,,False,ascii,0.9891026447043044,0.5550198425989435,0.988323960912984,0.606691551325018
155,identity_hate,bern,count,0.0,0.0,,,False,ascii,0.9909677689760678,0.5010251266571901,0.98968288736109,0.4997608887919451
156,toxic,multi,count,1.0,0.0,,,False,ascii,0.9408818475208517,0.7697756634605413,0.9478422572483528,0.8162852529604993
157,toxic,bern,count,1.0,0.0,,,False,ascii,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
158,severe_toxic,multi,count,1.0,0.0,,,False,ascii,0.9795674588205708,0.687178361935438,0.9795356405281933,0.7475116251399545
159,severe_toxic,bern,count,1.0,0.0,,,False,ascii,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
160,obscene,multi,count,1.0,0.0,,,False,ascii,0.9585690934238652,0.7617341498714314,0.9598222667250766,0.7993594343588996
161,obscene,bern,count,1.0,0.0,,,False,ascii,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
162,threat,multi,count,1.0,0.0,,,False,ascii,0.9933777610126158,0.5708820336654454,0.9912474408375278,0.5733053512130659
163,threat,bern,count,1.0,0.0,,,False,ascii,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
164,insult,multi,count,1.0,0.0,,,False,ascii,0.956473448174693,0.7364114119892763,0.958704728527621,0.785251999341352
165,insult,bern,count,1.0,0.0,,,False,ascii,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
166,identity_hate,multi,count,1.0,0.0,,,False,ascii,0.9825223186219036,0.5827512914053949,0.9804028501694187,0.6272221096982289
167,identity_hate,bern,count,1.0,0.0,,,False,ascii,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
168,toxic,multi,tfidf,0.0,0.0,,,False,ascii,0.9188356594995599,0.5748822554351507,0.9205475043136975,0.5872137665287734
169,toxic,bern,tfidf,0.0,0.0,,,False,ascii,0.883000125738715,0.798719118169613,0.8837045050199815,0.8331378447809782
170,severe_toxic,multi,tfidf,0.0,0.0,,,False,ascii,0.9899199463514816,0.5,0.9900047383619572,0.4999819395154372
171,severe_toxic,bern,tfidf,0.0,0.0,,,False,ascii,0.9897942076365313,0.5009654065796496,0.9892179914709485,0.5026948342458498
172,obscene,multi,tfidf,0.0,0.0,,,False,ascii,0.9514438995766796,0.5413911170512657,0.9527504850115777,0.5553535251940164
173,obscene,bern,tfidf,0.0,0.0,,,False,ascii,0.9630118613521104,0.6702960842541209,0.9670281530222703,0.7265508422382765
174,threat,multi,tfidf,0.0,0.0,,,False,ascii,0.9968355756737499,0.5,0.9970407588531376,0.499982066961964
175,threat,bern,tfidf,0.0,0.0,,,False,ascii,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
176,insult,multi,tfidf,0.0,0.0,,,False,ascii,0.9523450270338237,0.5138644603740509,0.9528756492896927,0.5264163828314088
177,insult,bern,tfidf,0.0,0.0,,,False,ascii,0.9613353451527725,0.627355910694241,0.9639795088196115,0.6774957038710577
178,identity_hate,multi,tfidf,0.0,0.0,,,False,ascii,0.9913030722159353,0.5,0.9911133362538331,0.5004825001501079
179,identity_hate,bern,tfidf,0.0,0.0,,,False,ascii,0.9909677689760678,0.5010251266571901,0.98968288736109,0.4997608887919451
180,toxic,multi,tfidf,1.0,0.0,,,False,ascii,0.9210779999161742,0.6015769358227774,0.9232742975154891,0.6140128944587737
181,toxic,bern,tfidf,1.0,0.0,,,False,ascii,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
182,severe_toxic,multi,tfidf,1.0,0.0,,,False,ascii,0.9899199463514816,0.5010289161166651,0.989986857750798,0.500861545099097
183,severe_toxic,bern,tfidf,1.0,0.0,,,False,ascii,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
184,obscene,multi,tfidf,1.0,0.0,,,False,ascii,0.9530365899660506,0.5630102588152658,0.9546190088777234,0.5823821576819782
185,obscene,bern,tfidf,1.0,0.0,,,False,ascii,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
186,threat,multi,tfidf,1.0,0.0,,,False,ascii,0.9968565321262417,0.5033112582781457,0.9970496991587172,0.5015111189497315
187,threat,bern,tfidf,1.0,0.0,,,False,ascii,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
188,insult,multi,tfidf,1.0,0.0,,,False,ascii,0.9535185883733601,0.5329816565337251,0.9549766211009092,0.5555605082420779
189,insult,bern,tfidf,1.0,0.0,,,False,ascii,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
190,identity_hate,multi,tfidf,1.0,0.0,,,False,ascii,0.9912821157634436,0.4999894298458872,0.9911043959482535,0.5004779900791194
191,identity_hate,bern,tfidf,1.0,0.0,,,False,ascii,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
192,toxic,multi,count,0.0,0.0,,,True,unicode,0.9458485267613899,0.7971898593952367,0.9521961860656397,0.8441507780807015
193,toxic,bern,count,0.0,0.0,,,True,unicode,0.8839431661008424,0.7988472175003554,0.8845895952723664,0.8333362328254117
194,severe_toxic,multi,count,0.0,0.0,,,True,unicode,0.9877404752923425,0.7057113074747556,0.9874209900494398,0.7541598694638759
195,severe_toxic,bern,count,0.0,0.0,,,True,unicode,0.9897942076365313,0.5009654065796496,0.9891911705542096,0.5026812888824278
196,obscene,multi,count,0.0,0.0,,,True,unicode,0.9679156712351733,0.7999884668339271,0.9680205269416109,0.8340305519544811
197,obscene,bern,count,0.0,0.0,,,True,unicode,0.962739427469718,0.6680931495204357,0.9667688841604606,0.7245822472543003
198,threat,multi,count,0.0,0.0,,,True,unicode,0.9961440127415231,0.5128561080174537,0.9959321609612617,0.5238192424349863
199,threat,bern,count,0.0,0.0,,,True,unicode,0.9968355756737499,0.5,0.9965937435741553,0.4997579039865144
200,insult,multi,count,0.0,0.0,,,True,unicode,0.9646674210989564,0.7704007259697137,0.9652132709896024,0.8067131717992652
201,insult,bern,count,0.0,0.0,,,True,unicode,0.961377258057756,0.6269713454555895,0.9636308369020053,0.675089684007673
202,identity_hate,multi,count,0.0,0.0,,,True,unicode,0.9889978624418458,0.556161240951375,0.9882792593850858,0.6071695414041373
203,identity_hate,bern,count,0.0,0.0,,,True,unicode,0.9909677689760678,0.5010251266571901,0.9896918276666696,0.4997653988629336
204,toxic,multi,count,1.0,0.0,,,True,unicode,0.9408818475208517,0.7697756634605413,0.9478422572483528,0.8162852529604993
205,toxic,bern,count,1.0,0.0,,,True,unicode,0.9272391969487405,0.7898527157768211,0.9283881523070459,0.8325626313994895
206,severe_toxic,multi,count,1.0,0.0,,,True,unicode,0.9795674588205708,0.687178361935438,0.9795356405281933,0.7475116251399545
207,severe_toxic,bern,count,1.0,0.0,,,True,unicode,0.9895846431116141,0.5029173895846208,0.9888335583310237,0.5078324989924471
208,obscene,multi,count,1.0,0.0,,,True,unicode,0.9585690934238652,0.7617341498714314,0.9598222667250766,0.7993594343588996
209,obscene,bern,count,1.0,0.0,,,True,unicode,0.9528060689886416,0.6164256007440743,0.9555935021859047,0.6652438419299318
210,threat,multi,count,1.0,0.0,,,True,unicode,0.9933777610126158,0.5708820336654454,0.9912474408375278,0.5733053512130659
211,threat,bern,count,1.0,0.0,,,True,unicode,0.9968355756737499,0.5,0.9967099675466907,0.49981618636013125
212,insult,multi,count,1.0,0.0,,,True,unicode,0.956473448174693,0.7364114119892763,0.958704728527621,0.785251999341352
213,insult,bern,count,1.0,0.0,,,True,unicode,0.9527641560836582,0.5854429132552231,0.9544670236828695,0.6282960306961096
214,identity_hate,multi,count,1.0,0.0,,,True,unicode,0.9825223186219036,0.5827512914053949,0.9804028501694187,0.6272221096982289
215,identity_hate,bern,count,1.0,0.0,,,True,unicode,0.9909677689760678,0.5010251266571901,0.9893520960546431,0.5020967183356799
216,toxic,multi,tfidf,0.0,0.0,,,True,unicode,0.9188566159520516,0.5749921213986752,0.9204491609523213,0.5868265957266504
217,toxic,bern,tfidf,0.0,0.0,,,True,unicode,0.8839431661008424,0.7988472175003554,0.8845895952723664,0.8333362328254117
218,severe_toxic,multi,tfidf,0.0,0.0,,,True,unicode,0.9899199463514816,0.5,0.9900047383619572,0.4999819395154372
219,severe_toxic,bern,tfidf,0.0,0.0,,,True,unicode,0.9897942076365313,0.5009654065796496,0.9891911705542096,0.5026812888824278
220,obscene,multi,tfidf,0.0,0.0,,,True,unicode,0.9514229431241878,0.5411928616983712,0.9526968431780998,0.5548473669352006
